Manufacturer,Model,Min.Price,Max.Price
Acura,Integra,"$12,900","$18,800.00"
Acura,Legend,"$29,200","$38,700.00"
Audi,90,"$25,900","$32,300.00"
Audi,100,"$30,800","$44,600.00"
BMW,535i,"$23,700","$36,200.00"
Buick,Century,"$14,200","$17,300.00"
Buick,LeSabre,"$19,900","$21,700.00"
Buick,Roadmaster,"$22,600","$24,900.00"
Buick,Riviera,"$26,300","$26,300.00"
Cadillac,DeVille,"$33,000","$36,300.00"
Cadillac,Seville,"$37,500","$42,700.00"
Chevrolet,Cavalier,"$8,500","$18,300.00"
Chevrolet,Corsica,"$11,400","$11,400.00"
Chevrolet,Camaro,"$13,400","$16,800.00"
Chevrolet,Lumina,"$13,400","$18,400.00"
Chevrolet,Lumina_APV,"$14,700","$18,000.00"
Chevrolet,Astro,"$14,700","$18,600.00"
Chevrolet,Caprice,"$18,000","$19,600.00"
Chevrolet,Corvette,"$34,600","$41,500.00"
Chrylser,Concorde,"$18,400","$18,400.00"
Chrysler,LeBaron,"$14,500","$17,100.00"
Chrysler,Imperial,"$29,500","$29,500.00"
Dodge,Colt,"$7,900","$10,600.00"
Dodge,Shadow,"$8,400","$14,200.00"
Dodge,Spirit,"$11,900","$14,700.00"
Dodge,Caravan,"$13,600","$24,400.00"
Dodge,Dynasty,"$14,800","$16,400.00"
Dodge,Stealth,"$18,500","$33,100.00"
Eagle,Summit,"$7,900","$16,500.00"
Eagle,Vision,"$17,500","$21,200.00"
Ford,Festiva,"$6,900","$7,900.00"
Ford,Escort,"$8,400","$11,900.00"
Ford,Tempo,"$10,400","$12,200.00"
Ford,Mustang,"$10,800","$21,000.00"
Ford,Probe,"$12,800","$15,200.00"
Ford,Aerostar,"$14,500","$25,300.00"
Ford,Taurus,"$15,600","$24,800.00"
Ford,Crown_Victoria,"$20,100","$21,700.00"
Geo,Metro,"$6,700","$10,000.00"
Geo,Storm,"$11,500","$13,500.00"
Honda,Prelude,"$17,000","$22,700.00"
Honda,Civic,"$8,400","$15,800.00"
Honda,Accord,"$13,800","$21,200.00"
Hyundai,Excel,"$6,800","$9,200.00"
Hyundai,Elantra,"$9,000","$11,000.00"
Hyundai,Scoupe,"$9,100","$11,000.00"
Hyundai,Sonata,"$12,400","$15,300.00"
Infiniti,Q45,"$45,400","$50,400.00"
Lexus,ES300,"$27,500","$28,400.00"
Lexus,SC300,"$34,700","$35,600.00"
Lincoln,Continental,"$33,300","$35,300.00"
Lincoln,Town_Car,"$34,400","$37,800.00"
Mazda,323,"$7,400","$9,100.00"
Mazda,Protege,"$10,900","$12,300.00"
Mazda,626,"$14,300","$18,700.00"
Mazda,MPV,"$16,600","$21,700.00"
Mazda,RX-7,"$32,500","$32,500.00"
Mercedes-Benz,190E,"$29,000","$34,900.00"
Mercedes-Benz,300E,"$43,800","$80,000.00"
Mercury,Capri,"$13,300","$15,000.00"
Mercury,Cougar,"$14,900","$14,900.00"
Mitsubishi,Mirage,"$7,700","$12,900.00"
Mitsubishi,Diamante,"$22,400","$29,900.00"
Nissan,Sentra,"$8,700","$14,900.00"
Nissan,Altima,"$13,000","$18,300.00"
Nissan,Quest,"$16,700","$21,500.00"
Nissan,Maxima,"$21,000","$22,000.00"
Oldsmobile,Achieva,"$13,000","$14,000.00"
Oldsmobile,Cutlass_Ciera,"$14,200","$18,400.00"
Oldsmobile,Silhouette,"$19,500","$19,500.00"
Oldsmobile,Eighty-Eight,"$19,500","$21,900.00"
Plymouth,Laser,"$11,400","$17,400.00"
Pontiac,LeMans,"$8,200","$9,900.00"
Pontiac,Sunbird,"$9,400","$12,800.00"
Pontiac,Firebird,"$14,000","$21,400.00"
Pontiac,Grand_Prix,"$15,400","$21,600.00"
Pontiac,Bonneville,"$19,400","$29,400.00"
Saab,900,"$20,300","$37,100.00"
Saturn,SL,"$9,200","$12,900.00"
Subaru,Justy,"$7,300","$9,500.00"
Subaru,Loyale,"$10,500","$11,300.00"
Subaru,Legacy,"$16,300","$22,700.00"
Suzuki,Swift,"$7,300","$10,000.00"
Toyota,Tercel,"$7,800","$11,800.00"
Toyota,Celica,"$14,200","$22,600.00"
Toyota,Camry,"$15,200","$21,200.00"
Toyota,Previa,"$18,900","$26,600.00"
Volkswagen,Fox,"$8,700","$9,500.00"
Volkswagen,Eurovan,"$16,600","$22,700.00"
Volkswagen,Passat,"$17,600","$22,400.00"
Volkswagen,Corrado,"$22,900","$23,700.00"
Volvo,240,"$21,800","$23,500.00"
Volvo,850,"$24,800","$28,500.00"
